b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = 97.23046965682363, l = -21.239472283801803, h = -6406793.407857263
b = 179.54468714903484, l = 52.335005086639384, h = -6380654.025801284
b = 179.41233455260044, l = 144.9065143773389, h = -6380302.507196202
b = -171.03222701916738, l = 15.74163342648312, h = -6380784.925212323
b = 97.51712325806864, l = -21.479751412424786, h = -6406536.770596154
b = 179.53651329752, l = 52.060162437564415, h = -6380655.176133845
b = 179.4444266311387, l = 145.03913614408856, h = -6380294.979151192
b = -170.937205875747, l = 15.571676545139274, h = -6380790.777225921
b = 97.81335189620921, l = -21.71311907067801, h = -6406286.516728016
b = 179.52816632366793, l = 51.785078903413954, h = -6380656.326858448
b = 179.47557083505248, l = 145.17182745360537, h = -6380287.456543358
b = -170.84190452364945, l = 15.401703194331754, h = -6380796.753908808
b = 98.11916044647069, l = -21.939946872334165, h = -6406042.334981095
b = 179.5196426672933, l = 51.5100675665225, h = -6380657.479892279
b = 179.50569327798897, l = 145.30481262237527, h = -6380279.932861369
b = -170.74611271276842, l = 15.231970763007181, h = -6380802.884766058
b = 98.43489079439253, l = -22.16092576931008, h = -6405803.673745166
b = 179.51091500184435, l = 51.23494478311852, h = -6380658.64177544
b = 179.5348712362126, l = 145.4378782633455, h = -6380272.411976771
b = -170.6501790210174, l = 15.062402775827467, h = -6380809.137217933
b = 98.76068757651889, l = -22.37564887239428, h = -6405570.129645608
b = 179.5020268826382, l = 50.95988302063936, h = -6380659.806132264
b = 179.56309470949384, l = 145.57087654794347, h = -6380264.884466248
b = -170.5540077018097, l = 14.893066988067957, h = -6380815.513748282
b = 99.09671909172215, l = -22.58478984933895, h = -6405341.325020561
b = 179.49290041813643, l = 50.68473204602097, h = -6380660.965868491
b = 179.5903866835249, l = 145.7043400670881, h = -6380257.359842626
b = -170.45771173518244, l = 14.723887950285263, h = -6380822.010164409
b = 99.44321940310269, l = -22.788166192296238, h = -6405116.724752767
b = 179.4836053374085, l = 50.40962795259875, h = -6380662.128419824
b = 179.61679380801704, l = 145.8379000849037, h = -6380249.834155622
b = -170.36119212320378, l = 14.554932075634207, h = -6380828.629520183
b = 99.80059689804987, l = -22.985469069829847, h = -6404895.873034962
b = 179.4740877657363, l = 50.134244806460124, h = -6380663.293023912
b = 179.64229096929435, l = 145.9715613836688, h = -6380242.306469359
b = -170.2643096158089, l = 14.386124945893094, h = -6380835.400224761
b = 100.1691415375455, l = -23.177568723628934, h = -6404678.276974393
b = 179.46436828652477, l = 49.85921578956477, h = -6380664.462267615
b = 179.6669510683524, l = 146.10555562970757, h = -6380234.769825276
b = -170.16724098748548, l = 14.217802284423751, h = -6380842.292604111
b = 100.54856601923034, l = -23.363773221220395, h = -6404463.775857447
b = 179.45441647098005, l = 49.58389534811843, h = -6380665.634053342
b = 179.69077774069655, l = 146.2396633184023, h = -6380227.228879425
b = -170.06993446468874, l = 14.049418314645541, h = -6380849.3087989865
b = 100.93955786859519, l = -23.545525715203944, h = -6404251.750364972
b = 179.44427908875213, l = 49.30859704386918, h = -6380666.809444487
b = 179.7137999427975, l = 146.37388953296306, h = -6380219.682608005
b = -169.97227675069598, l = 13.881169877082275, h = -6380856.476856317
b = 101.34219116019104, l = -23.72140546795664, h = -6404041.824821424
b = 179.43389974643924, l = 49.03331477359241, h = -6380667.989022701
b = 179.73604844748002, l = 146.50862216350754, h = -6380212.132867044
b = -169.87482969923974, l = 13.713326783619863, h = -6380863.723993441
b = 101.75697910733902, l = -23.89254403070937, h = -6403833.461339728
b = 179.42329751169194, l = 48.75806345715644, h = -6380669.158695941
b = 179.75755545849537, l = 146.6431022656325, h = -6380204.5731394775
b = -169.7769276114903, l = 13.545679723832965, h = -6380871.127683286
b = 102.18364425917434, l = -24.058049846770196, h = -6403626.509642999
b = 179.41244429008214, l = 48.48279352353681, h = -6380670.347081848
b = 179.77833685302687, l = 146.77810185761314, h = -6380197.00830613
b = -169.67895918450102, l = 13.378157418811979, h = -6380878.645467596
b = 102.6226127297144, l = -24.219252583276784, h = -6403420.436621264
b = 179.40138573475144, l = 48.20737069949159, h = -6380671.532428586
b = 179.79846683083042, l = 146.91300981232325, h = -6380189.440090505
b = -169.5806618670545, l = 13.210755876559082, h = -6380886.313735643
b = 103.07418610909016, l = -24.376026078355753, h = -6403214.838231498
b = 179.3900636708349, l = 47.93225777569952, h = -6380672.723642321
b = 179.81796414644265, l = 147.04829836790827, h = -6380181.856879474
b = -169.48218883472197, l = 13.043535318542212, h = -6380894.10189605
b = 103.53819886208683, l = -24.527715777789926, h = -6403009.433437677
b = 179.37849956471132, l = 47.65680985375688, h = -6380673.9192320015
b = 179.83685264535674, l = 147.18389296263445, h = -6380174.271907493
b = -169.3836711418772, l = 12.876426049375528, h = -6380902.001525344
b = 104.01558719944742, l = -24.674954372762258, h = -6402803.570009544
b = 179.3666870726264, l = 47.381506844917816, h = -6380675.11347656
b = 179.85520902398815, l = 147.31949457394302, h = -6380166.667667393
b = -169.28514769762606, l = 12.709703359694757, h = -6380910.0090657985
b = 104.50533452718136, l = -24.818015258051208, h = -6402597.321582523
b = 179.35462172752443, l = 47.10617497139989, h = -6380676.313329932
b = 179.87304528738662, l = 147.45532757594688, h = -6380159.074280489
b = -169.18631694720995, l = 12.54308540708507, h = -6380918.165306865
b = 105.00898277194558, l = -24.95633306629926, h = -6402389.755276124
b = 179.34229921582138, l = 46.830962875495416, h = -6380677.526347485
b = 179.89042542346527, l = 147.59141720106493, h = -6380151.455153858
b = -169.08736369948625, l = 12.376911148608224, h = -6380926.436354022
b = 105.52569593284197, l = -25.090442414345322, h = -6402180.896693558
b = 179.32968199093335, l = 46.555556528788, h = -6380678.738486504
b = 179.9073844021169, l = 147.72759548069814, h = -6380143.837443521
b = -168.98853059161652, l = 12.210772367705479, h = -6380934.804324727
b = 106.05593560543967, l = -25.22043372667998, h = -6401970.226819682
b = 179.3168223787167, l = 46.280266966800745, h = -6380679.949926987
b = 179.9240052959605, l = 147.86410755757953, h = -6380136.215343854
b = -168.88927193671356, l = 12.044787443629989, h = -6380943.329148694
b = 106.6001020228589, l = -25.34663794369889, h = -6401757.312514382
b = 179.30365662067385, l = 46.00492377988521, h = -6380681.168359838
b = 179.94029909333113, l = 148.00089889950465, h = -6380128.5663088
b = -168.79001454529666, l = 11.878889932031505, h = -6380951.958305815
b = 107.15775768328555, l = -25.46889106703415, h = -6401541.991284843
b = 179.29020793695443, l = 45.729840018713105, h = -6380682.394016877
b = 179.95636832763057, l = 148.13770142438264, h = -6380120.931314112
b = -168.69050158263272, l = 11.713360793039087, h = -6380960.732065032
b = 107.7292113091394, l = -25.586603121336157, h = -6401323.835814736
b = 179.27650081828153, l = 45.45437242472128, h = -6380683.62649901
b = 179.9722453946944, l = 148.274948809633, h = -6380113.27728355
b = -168.59133126039058, l = 11.5481983363332, h = -6380969.560197385
b = 108.31453656924339, l = -25.70098714813946, h = -6401102.505957747
b = 179.26246613972324, l = 45.179312479790624, h = -6380684.860017767
b = 179.98799507676625, l = 148.41215591415136, h = -6380105.614536352
b = -168.49159009170953, l = 11.383113003428777, h = -6380978.578521406
b = 108.91398077644091, l = -25.811662974659733, h = -6400877.58077421
b = 179.24813083308882, l = 44.904015528046955, h = -6380686.108492604
b = -179.99630077516835, l = 148.54972733770663, h = -6380097.946164877
b = -168.39218221645527, l = 11.218099805237745, h = -6380987.649447538
b = 109.52727437444385, l = -25.91849033824898, h = -6400648.897733615
b = 179.2334833803108, l = 44.62895274577047, h = -6380687.351100675
b = -179.98057111220518, l = 148.68751762756077, h = -6380090.263571726
b = -168.2925419190826, l = 11.053443599245009, h = -6380996.861134871
b = 110.15478573895655, l = -26.02176058320612, h = -6400415.980652009
b = 179.21852186693394, l = 44.35364188236432, h = -6380688.609433768
b = -179.96475543389482, l = 148.82543439942663, h = -6380082.580454391
b = -168.19264221939625, l = 10.888851410664454, h = -6381006.216235583
b = 110.79572729171136, l = -26.1215455240501, h = -6400178.855761233
b = 179.2032669837881, l = 44.07854916953003, h = -6380689.8621417135
b = -179.94877572811075, l = 148.96373414819277, h = -6380074.891662876
b = -168.0928246255974, l = 10.724610077477474, h = -6381015.663315061
b = 111.45087776614993, l = -26.21791491839836, h = -6399936.923564775
b = 179.18765150830345, l = 43.8035151993804, h = -6380691.131459477
b = -179.93253574300212, l = 149.10201709686396, h = -6380067.193905018
b = -167.9930700739524, l = 10.560424315332565, h = -6381025.202722262
b = 112.1202431645744, l = -26.31072255154794, h = -6399689.930818151
b = 179.1717327845789, l = 43.5283737331419, h = -6380692.410117152
b = -179.91596415731516, l = 149.24084756392142, h = -6380059.4993663365
b = -167.89309986696176, l = 10.396582964735163, h = -6381034.880302516
b = 112.80285397861606, l = -26.400249497281468, h = -6399437.971248727
b = 179.15543425558502, l = 43.25327325957246, h = -6380693.692068387
b = -179.89897149168692, l = 149.37977590323706, h = -6380051.782573531
b = -167.79336279975368, l = 10.232735077000592, h = -6381044.632137378
b = 113.49901892938702, l = -26.4865597664524, h = -6399180.666078704
b = 179.1388182678286, l = 42.97837010131497, h = -6380694.983699393
b = -179.88146427063194, l = 149.51874930586087, h = -6380044.079853828
b = -167.69342198489645, l = 10.069226186460984, h = -6381054.519755065
b = 114.20906259094752, l = -26.569715558672577, h = -6398917.645064003
b = 179.12180398364814, l = 42.703328672444314, h = -6380696.272592512
b = -179.8633281374232, l = 149.65824338302696, h = -6380036.359243167
b = -167.5936031875229, l = 9.906053914785183, h = -6381064.490004018
b = 114.93188840794093, l = -26.649777319617684, h = -6398649.114800946
b = 179.1044618616563, l = 42.428484440855215, h = -6380697.585950096
b = -179.84447613043997, l = 149.79763749374266, h = -6380028.645111265
b = -167.49372270089083, l = 9.742865792730022, h = -6381074.5806226395
b = 115.66750154453104, l = -26.727222249377977, h = -6398374.873066143
b = 179.08674059999956, l = 42.15348803551534, h = -6380698.897052955
b = -179.82480105833355, l = 149.9374576286864, h = -6380020.928078897
b = -167.39381656086385, l = 9.5800590543478, h = -6381084.766940492
b = 116.41613849285197, l = -26.80126783706751, h = -6398094.612894965
b = 179.06867288193286, l = 41.87866338566524, h = -6380700.219288732
b = -179.8041909160347, l = 150.07771207889627, h = -6380013.209064889
b = -167.29405469580274, l = 9.41747928093623, h = -6381095.050381372
b = 117.17677439094857, l = -26.872390799744455, h = -6397808.578555839
b = 179.05017754641804, l = 41.604004703614244, h = -6380701.553946266
b = -179.78252896544868, l = 150.21787692522494, h = -6380005.499094566
b = -167.19391634575217, l = 9.254973506165049, h = -6381105.48583092
b = 117.94958755078481, l = -26.940645101936383, h = -6397516.548412077
b = 179.0313176053252, l = 41.32933810614501, h = -6380702.893877771
b = -179.7596926883646, l = 150.35848720621536, h = -6379997.789437879
b = -167.0941037169585, l = 9.092739694714432, h = -6381115.97672871
b = 118.73422984915321, l = -27.00608321321387, h = -6397218.5319973
b = 179.01205040998673, l = 41.05450895400453, h = -6380704.247573521
b = -179.73555399586783, l = 150.49913016395894, h = -6379990.077828683
b = -166.99445885543813, l = 8.930824965693525, h = -6381126.538304623
b = 119.5297698506537, l = -27.068756154870083, h = -6396914.7965513365
b = 178.99236393853838, l = 40.779973780847904, h = -6380705.607092919
b = -179.70998035007477, l = 150.64011475792594, h = -6379982.3833605535
b = -166.89482148786732, l = 8.769179299523532, h = -6381137.207214806
b = 120.33604332775084, l = -27.12831063157584, h = -6396605.319881491
b = 178.97225244042974, l = 40.50526381810209, h = -6380706.981461052
b = -179.6828315112194, l = 150.7815653266235, h = -6379974.694454154
b = -166.79499415982175, l = 8.607541504717744, h = -6381148.005526393
b = 121.1525581759007, l = -27.18560316143586, h = -6396290.264187947
b = 178.9517431472148, l = 40.23083341869382, h = -6380708.362016083
b = -179.653961120513, l = 150.9230650557919, h = -6379967.009617309
b = -166.695533105733, l = 8.4461672706835, h = -6381158.847944675
b = 121.97857272320887, l = -27.24048024370859, h = -6395969.875429863
b = 178.93079098405542, l = 39.95653080650219, h = -6380709.757324612
b = -179.62324684278977, l = 151.06464780430053, h = -6379959.353698392
b = -166.5961007780886, l = 8.285055624959707, h = -6381169.792066146
b = 122.81321946271335, l = -27.292385343390904, h = -6395644.514375978
b = 178.90942816318295, l = 39.68203588779866, h = -6380711.1685922695
b = -179.5904746221871, l = 151.20671515684217, h = -6379951.71165763
b = -166.49651989397063, l = 8.124249846971416, h = -6381180.858526444
b = 123.6570558296737, l = -27.342156673711294, h = -6395313.998323686
b = 178.88760116373751, l = 39.40779967432182, h = -6380712.588097488
b = -179.55553570734895, l = 151.3489982642262, h = -6379944.091645931
b = -166.39730818607418, l = 7.963391544318199, h = -6381191.963761762
b = 124.50832884757051, l = -27.389048172669558, h = -6394979.076256951
b = 178.8653035683737, l = 39.13367307739332, h = -6380714.024029462
b = -179.51822965158925, l = 151.4915021403251, h = -6379936.497941544
b = -166.29795786291, l = 7.802831577880565, h = -6381203.188420632
b = 125.3670197186021, l = -27.434088384877466, h = -6394639.83671384
b = 178.84256520105907, l = 38.859476830608216, h = -6380715.470077739
b = -179.47841302671796, l = 151.63438397819993, h = -6379928.943837391
b = -166.19868427582884, l = 7.642838414989312, h = -6381214.505135024
b = 126.23120491999416, l = -27.476334571559008, h = -6394297.172351557
b = 178.8193373078812, l = 38.58537780214112, h = -6380716.933810904
b = -179.43582648717063, l = 151.7770615970114, h = -6379921.422407588
b = -166.09944219045025, l = 7.482783979952924, h = -6381225.918601721
b = 127.10170329878139, l = -27.516217619892693, h = -6393950.884733981
b = 178.79560965060358, l = 38.311370425377966, h = -6380718.415883949
b = -179.3903477131461, l = 151.9204093342573, h = -6379913.947471075
b = -166.00063300853358, l = 7.322979709292751, h = -6381237.356124979
b = 127.97726982869146, l = -27.553975765075744, h = -6393601.6216576705
b = 178.7714088768354, l = 38.03741096922856, h = -6380719.902313329
b = -179.34177730756264, l = 152.06399896574868, h = -6379906.521982407
b = -165.90170185065568, l = 7.163464128537009, h = -6381248.907695067
b = 128.85588736936006, l = -27.589644292649314, h = -6393250.387422152
b = 178.7467379740234, l = 37.76339279119664, h = -6380721.415507982
b = -179.28986631230035, l = 152.20754790197407, h = -6379899.158975831
b = -165.80322251050396, l = 7.004194355696978, h = -6381260.4770717705
b = 129.73888883319307, l = -27.62248303325549, h = -6392896.844830975
b = 178.72153228384755, l = 37.48989598045096, h = -6380722.939479686
b = -179.2343918431109, l = 152.35178844806993, h = -6379891.867188092
b = -165.70442857496957, l = 6.8448486096393975, h = -6381272.203948277
b = 130.62379832562618, l = -27.65388051687703, h = -6392542.195260841
b = 178.69578727130906, l = 37.216153456446364, h = -6380724.486406679
b = -179.1751722075397, l = 152.4959964243355, h = -6379884.657010985
b = -165.60612828182073, l = 6.686064510096426, h = -6381283.9396816185
b = 131.51089820066554, l = -27.68252252983135, h = -6392186.570698066
b = 178.66953326554997, l = 36.94260572955802, h = -6380726.046564686
b = -179.11197731399807, l = 152.64061772625146, h = -6379877.544294807
b = -165.50792732987938, l = 6.527521419314424, h = -6381295.755286723
b = 132.39805984741741, l = -27.70941052135758, h = -6391831.048240633
b = 178.64276184180616, l = 36.66893364100699, h = -6380727.622665422
b = -179.0445053152243, l = 152.7852116054585, h = -6379870.538707906
b = -165.40983127446026, l = 6.369217617770363, h = -6381307.64887273
b = 133.28653945288315, l = -27.73455347904145, h = -6391475.385561557
b = 178.6154170980561, l = 36.395619572228064, h = -6380729.220324711
b = -178.97248500486342, l = 152.9303725035832, h = -6379863.646406593
b = -165.31182264465963, l = 6.210825930796013, h = -6381319.621807795
b = 134.1736375674844, l = -27.7572402913532, h = -6391120.926405672
b = 178.5875381525286, l = 36.12234676980587, h = -6380730.841458222
b = -178.89578536634767, l = 153.07566664363523, h = -6379856.900517004
b = -165.21434629411493, l = 6.052993988013955, h = -6381331.590011389
b = 135.0581789813586, l = -27.77789426135562, h = -6390768.374612262
b = 178.55911537106255, l = 35.849109848641184, h = -6380732.486923212
b = 94.92427671121918, l = -25.81230980523635, h = -6409368.799018233
b = 117.43557121585063, l = -80.16477894272799, h = -6397287.96905297
b = 103.41937753979704, l = 116.67647198549152, h = -6404645.541170009
b = -133.42349950062157, l = 20.284185783915213, h = -6391758.492108465
b = 94.95476392555335, l = -26.702651593795657, h = -6409285.925888946
b = 116.96526174896685, l = -80.44653115875087, h = -6397463.642481135
b = 103.11271641369741, l = 116.92648163890561, h = -6404818.268005757
b = 172.17319177676802, l = 20.60086696195688, h = -6380142.829320498
b = 179.70956492653045, l = 102.91430073003242, h = -6379898.339025807
b = -174.76118425824353, l = 129.65447401597282, h = -6379931.224696409
b = 163.1598885546033, l = 58.950002156007244, h = -6382510.350565895
b = 172.54534238659056, l = -69.36243570450425, h = -6380119.163686647
b = 179.7218856603367, l = 103.31088105119215, h = -6379894.905477175
b = -174.71811995200568, l = 129.4948956552562, h = -6379937.8118773885
b = 163.49634671296738, l = 59.18685619412745, h = -6382440.105926211
b = -174.00606087687035, l = 52.176366516449654, h = -6379309.514007058
b = -164.72838286667894, l = 5.26726915263955, h = -6381392.572547646
b = 139.43325582496274, l = -27.85345887489707, h = -6389046.91976825
b = 178.408052144384, l = 34.484530894711185, h = -6380741.038939286
b = 95.12875371765085, l = -30.280410903271015, h = -6408889.430219855
b = 115.14881553386057, l = -81.55927422603851, h = -6398136.971346269
b = 101.95545120601099, l = 117.92511098205712, h = -6405511.995581265
b = 172.67231008291768, l = 21.910506566264566, h = -6380065.41593022
b = 179.75671394177593, l = 104.51018196591957, h = -6379884.941755762
b = -174.59434138447332, l = 129.01514575986786, h = -6379957.221323107
b = 164.4837325370984, l = 59.89071475272398, h = -6382241.874469523
b = -172.4353953189857, l = 50.46642524432934, h = -6379444.045308417
b = -164.4398678346847, l = 4.798437047283952, h = -6381429.685004372
b = 141.99012287930148, l = -27.87700854032966, h = -6388067.173892695
b = 178.31005474465522, l = 33.66718009195336, h = -6380746.4732086165
b = 95.31686056722569, l = -32.966637379869745, h = -6408530.501188066
b = 113.85066717639533, l = -82.37829477128903, h = -6398613.759075547
b = 101.15551364208194, l = 118.67159589334332, h = -6406039.060128428
b = 173.03855729329192, l = 22.939046931076525, h = -6380010.606202776
b = 179.78853964568688, l = 105.72140959947069, h = -6379875.528687525
b = -174.47856173487176, l = 128.53340097721016, h = -6379976.0556529835
b = 165.4368655151311, l = 60.58395800274992, h = -6382061.9617735725
b = -170.62680847178933, l = 48.73372637222743, h = -6379640.24778708
b = -164.15301902444583, l = 4.332541821048279, h = -6381467.27156679
b = 144.47325229562875, l = -27.885209858617415, h = -6387142.137766951
b = 178.20613129770794, l = 32.85062517643284, h = -6380752.183215074
b = 95.55925656455484, l = -35.63906162564265, h = -6408125.82568143
b = 112.607451419592, l = -83.18365505183434, h = -6399067.847878352
b = 100.4093958443942, l = 119.41659290264965, h = -6406575.706449059
b = 173.39755654830267, l = 24.00852443106049, h = -6379958.543588671
b = 179.81768550765148, l = 106.94491733343136, h = -6379866.668005724
b = -174.37133198667152, l = 128.05004979903327, h = -6379994.2518724
b = 166.3542116494357, l = 61.266365897985544, h = -6381899.61974659
b = -168.58405374411606, l = 46.98272504897211, h = -6379913.251949698
b = -163.86909117914936, l = 3.8684589797403577, h = -6381505.070589987
b = 146.86860332074144, l = -27.878475994502853, h = -6386280.333512115
b = 178.09606155494043, l = 32.03542022538937, h = -6380758.185975574
b = 95.86103128339015, l = -38.28534032223093, h = -6407682.968047969
b = 111.41843647932559, l = -83.97605202709512, h = -6399500.874947807
b = 99.71343592937329, l = 120.15935450424728, h = -6407125.1648519
b = 173.74951472929024, l = 25.11951584984115, h = -6379909.165387566
b = 179.84442299951283, l = 108.17915169420381, h = -6379858.377011394
b = -174.27268939331537, l = 127.56521241355561, h = -6380011.779594504
b = 167.23540858047127, l = 61.93805054845243, h = -6381753.8331724405
b = -166.32163301741951, l = 45.219965482452004, h = -6380277.044385062
b = -163.5874667689159, l = 3.407203178344434, h = -6381543.173373389
b = 149.16348785918476, l = -27.858241282564943, h = -6385487.89429933
b = 177.9795190087757, l = 31.221076100468515, h = -6380764.5214482695
b = 96.22770914971989, l = -40.89129160400878, h = -6407210.154591616
b = 110.28179900629144, l = -84.7550882494046, h = -6399914.944853308
b = 99.06442530257185, l = 120.89944893652121, h = -6407690.342109452
b = 174.09416693549522, l = 26.273156932761797, h = -6379862.438726916
b = 179.86903180975986, l = 109.42332350089157, h = -6379850.658223593
b = -174.1830158459727, l = 127.07860569704877, h = -6380028.549878492
b = 168.079722790604, l = 62.59904026705402, h = -6381623.650645963
b = -163.86448250116172, l = 43.45165158281101, h = -6380742.434465536
b = -163.3087268433526, l = 2.9480633014745847, h = -6381581.419337451
b = 151.35042784950068, l = -27.82480626843175, h = -6384767.347175423
b = 177.8561590409064, l = 30.408204409590294, h = -6380771.229383213
b = 96.66569890383799, l = -43.44586287201433, h = -6406715.207378205
b = 109.19653178037709, l = -85.52098072235786, h = -6400311.8993516965
b = 98.45888908966418, l = 121.63743434018049, h = -6408274.398488687
b = 174.43134515259317, l = 27.469808208606615, h = -6379818.335655803
b = 179.89177733885737, l = 110.67668891437695, h = -6379843.535897324
b = -174.10216399700033, l = 126.59088831331877, h = -6380044.563321735
b = 168.88714873867136, l = 63.2493633009104, h = -6381507.993888336
b = -161.2499005358375, l = 41.68284410422921, h = -6381314.217764252
b = -163.03269036824204, l = 2.4916953060937916, h = -6381619.830004739
b = 153.42188298882436, l = -27.778302558086082, h = -6384119.634358575
b = 177.72583945408437, l = 29.59632112678517, h = -6380778.35200173
b = 97.18293331712455, l = -45.93787616208536, h = -6406204.38032195
b = 108.16145856194225, l = -86.27335947734203, h = -6400693.6441037115
b = 97.8937702742481, l = 122.37249534467118, h = -6408880.376994501
b = 174.7608207889611, l = 28.710226772601857, h = -6379776.805395154
b = 179.91289318656175, l = 111.93803756690632, h = -6379837.007828932
b = -174.0301776878779, l = 126.10210141704785, h = -6380059.782381985
b = 169.6572808527402, l = 63.88864637325626, h = -6381405.846323046
b = -158.51890304644417, l = 39.920265476090584, h = -6381990.874812962
b = -162.75979356034162, l = 2.0380941052965387, h = -6381658.282137622
b = 155.3755314319117, l = -27.719979187045332, h = -6383542.7374507105
b = 177.58806713379107, l = 28.786036632620988, h = -6380785.940247705
b = 97.78708416238702, l = -48.35904299114322, h = -6405683.77201772
b = 107.17468306238929, l = -87.01237161230083, h = -6401062.310064305
b = 97.36615123414208, l = 123.104370815147, h = -6409511.400741484
b = 175.08216499656606, l = 29.994297223390582, h = -6379737.844808829
b = 179.93261275139668, l = 113.20649545015122, h = -6379831.09641953
b = -173.96729559057155, l = 125.61227737493569, h = -6380074.156588397
b = 170.39043954302375, l = 64.517337641918, h = -6381316.110752259
b = -155.7226849331418, l = 38.16980867908948, h = -6382761.9093753155
b = -162.49049899602144, l = 1.5872627799989814, h = -6381696.642113096
b = 107.82911367188153, l = 38.26639550035005, h = -6403316.792884947
b = 175.2918651485447, l = 30.875172444043784, h = -6379713.266908287
b = 179.94509956492323, l = 114.05568040416674, h = -6379827.498842547
b = 161.92076581270095, l = 125.28518110714408, h = -6381980.193738137
b = 177.3923827040677, l = 27.707466801958386, h = -6380796.847066891
b = 98.74414799734137, l = -51.46351131287678, h = -6404980.406589927
b = 105.93072893620585, l = -87.97741739878835, h = -6401537.222029802
b = 171.0870413189468, l = 65.13507366012519, h = -6381237.738506401
b = -152.90991831048143, l = 36.43780519194263, h = -6383610.655216698
b = -162.22430326525097, l = 1.139213074943468, h = -6381734.989910974
b = 107.33263192187414, l = 37.410731851391795, h = -6403582.083339544
b = 175.599095781631, l = 32.233325503318966, h = -6379678.498364403
b = 179.9629569625433, l = 115.33335484997724, h = -6379822.629266584
b = 163.08510177972664, l = 124.79425096120012, h = -6381729.1376164025
b = 177.2362502665478, l = 26.90023125347258, h = -6380805.707300139
b = 99.58935046596118, l = -53.692037736122515, h = -6404447.646978183
b = 105.04972476113981, l = -88.68533652313788, h = -6401883.4318673145
b = 171.74737181020384, l = 65.74211824320517, h = -6381169.708168683
b = -150.1323619725697, l = 34.7288758038498, h = -6384513.747494036
b = -161.96186872953655, l = 0.694349919832277, h = -6381773.1351424735
b = 106.87094226909898, l = 36.56062004794895, h = -6403835.934146657
b = 175.89759975783738, l = 33.63521388886575, h = -6379646.19478473
b = 179.97992861974285, l = 116.61549402891373, h = -6379818.383385403
b = 164.18523503481248, l = 124.30275450175408, h = -6381506.439432067
b = 177.07173474033786, l = 26.09446590069472, h = -6380815.222887723
b = 100.55575850383828, l = -55.830236951371546, h = -6403909.9176045405
b = 104.2112699872688, l = -89.38043370902399, h = -6402223.290355271
b = 172.37215703636667, l = 66.33861572798659, h = -6381111.034769844
b = -147.43208053265755, l = 33.04829121254303, h = -6385446.621918555
b = -161.7029547383743, l = 0.25232473835029595, h = -6381811.11040034
b = 106.4422117827471, l = 35.716092979853336, h = -6404078.685319836
b = 176.18657420002364, l = 35.08111895783614, h = -6379616.335548861
b = 153.53300242496928, l = -157.40955019127136, h = -6384664.815651447
b = 103.67478789434443, l = -89.83698405868986, h = -6402447.415234201
b = 172.7692571280114, l = 66.73013324398944, h = -6381076.657822879
b = -94.91013832071309, l = 31.946267336175186, h = -6410466.2573585035
b = -179.99853340333317, l = 118.32887568179291, h = -6379813.705037044
b = 165.55591705480683, l = 123.64664107895629, h = -6381249.253437685
b = 176.8386231281375, l = 25.022343288123146, h = -6380829.035509822
b = 102.05253479824206, l = -58.537731728273776, h = -6403179.985602559
b = 103.15583722017126, l = -90.28755406964318, h = -6402670.219769152
b = 173.1510916006054, l = 67.11714409068341, h = -6381045.747635619
b = -144.01534157000256, l = 30.859761048649197, h = -6386693.732109874
b = -161.3643832369717, l = -0.332293378095652, h = -6381861.151498973
b = 105.91819985344708, l = 34.600600687239634, h = -6404385.9796980675
b = 176.55657458841375, l = 37.07533779096635, h = -6379580.2739462815
b = 156.16426148791226, l = -156.71736335143066, h = -6383914.318062352
b = 102.65403977483744, l = -90.73157296344188, h = -6402892.200417487
b = 173.51804230393643, l = 67.49911436526261, h = -6381018.050705232
b = -94.76648418451857, l = 29.791440424827616, h = -6410943.754808871
b = -179.97797784917006, l = 120.0447961949878, h = -6379810.158022189
b = 166.8206898014101, l = 122.99016586687853, h = -6381032.411765856
b = 176.5892668321618, l = 23.95312194033892, h = -6380844.316801099
b = -173.7270458210527, l = -76.41976903654263, h = -6380399.643610923
b = -161.11476494753455, l = -0.7667228241513632, h = -6381898.343854154
b = 105.55850385314218, l = 33.77240974734614, h = -6404604.620249087
b = 176.821777358064, l = 38.619547023790844, h = -6379555.9910126645
b = 157.98229022862796, l = -156.2208825090522, h = -6383436.509622189
b = 101.93196622399915, l = -91.38787578200098, h = -6403225.078358499
b = 174.04103266370439, l = 68.06354884228298, h = -6380982.00449302
b = -94.68734828571, l = 28.2227647417908, h = -6411261.843083266
b = -179.9630634546217, l = 121.33111203906553, h = -6379808.256123048
b = 167.7034433378423, l = 122.49773797430096, h = -6380892.997826961
b = 176.39110317794604, l = 23.152907613983437, h = -6380856.8397982335
b = -173.267067325049, l = -77.09428161028552, h = -6380461.336586944
b = -160.86966030771072, l = -1.1973109875998982, h = -6381935.020096753
b = 105.22551061252967, l = 32.95246059943714, h = -6404813.394853552
b = 177.0761742849544, l = 40.20431369320052, h = -6379534.029386426
b = 159.6705825834755, l = -155.74210963305262, h = -6383024.910856738
b = 101.24563220468768, l = -92.03066186060119, h = -6403559.29218577
b = 174.5319647437003, l = 68.61718769374536, h = -6380951.885384442
b = -172.95561588692743, l = -77.52994352018847, h = -6380504.502638011
b = -160.70865942762822, l = -1.482766078936241, h = -6381959.19445676
b = 105.01767684308315, l = 32.41047240501352, h = -6404947.167369534
b = -96.64410239357406, l = 23.365559538173024, h = -6408733.144188549
